site_id,datetime,DO_mg_L,EC_uS_cm,pH
100017,1976-05-25 00:00:00,,759.0,
100017,1976-05-26 00:00:00,,797.0,
100017,1976-06-01 00:00:00,,778.0,
100017,1976-06-09 00:00:00,,777.0,
100017,1976-06-22 00:00:00,,725.0,
100017,1976-07-15 00:00:00,,919.0,
100017,1978-05-02 00:00:00,,578.0,
100017,1980-06-19 00:00:00,,615.0,
100017,1994-11-22 16:00:00,,900.0,
100017,1994-12-20 14:00:00,,900.0,
100017,1995-02-01 10:00:00,,900.0,
100018,1976-07-28 00:00:00,,720.0,
100018,1976-08-04 00:00:00,,665.0,
100018,1976-08-04 01:00:00,,759.0,
100018,1976-08-16 00:00:00,,824.0,
100018,1976-09-27 00:00:00,,1027.0,
100018,1976-09-27 01:00:00,,841.0,
100018,1976-09-28 00:00:00,,945.0,
100018,1978-05-02 00:00:00,,600.0,
100018,1980-06-19 00:00:00,,580.0,
100018,1994-11-22 14:00:00,,970.0,
100018,1994-12-20 11:00:00,,970.0,
100018,1995-02-01 15:00:00,,960.0,
100019,1976-10-26 00:00:00,,1210.0,
100019,1978-05-02 00:00:00,,1177.0,
100020,1977-06-01 00:00:00,,839.0,
100020,1978-05-02 00:00:00,,608.0,
100020,1980-06-19 00:00:00,,640.0,
100020,1987-08-05 00:00:00,,670.0,
100020,1988-03-22 00:00:00,,640.0,
100020,2008-06-16 16:00:00,,,7.54
100021,1979-02-12 00:00:00,,960.0,
100021,1979-02-20 00:00:00,,1100.0,
100021,1980-06-19 00:00:00,,800.0,
100021,1987-08-05 00:00:00,,810.0,
100021,1988-03-22 00:00:00,,810.0,
100021,2007-07-18 12:00:00,,,7.52
100021,2018-03-27 08:00:00,0.89,860.0,7.48
100021,2023-03-29 10:00:00,,,7.11
100022,1979-03-26 00:00:00,,1320.0,
100022,1979-04-18 00:00:00,,1120.0,
100022,1979-04-20 00:00:00,,1070.0,
100022,1980-06-19 00:00:00,,3340.0,
100022,2008-06-16 11:00:00,,,7.56
100022,2023-03-28 14:00:00,,,7.48
100023,1980-07-16 00:00:00,,22000.0,
100023,1980-07-17 00:00:00,,860.0,
100023,1980-07-22 00:00:00,,1070.0,
100023,1980-07-24 00:00:00,,1015.0,
100023,1987-08-04 00:00:00,,880.0,
100023,1988-03-22 00:00:00,,850.0,
100024,1980-12-02 00:00:00,,7500.0,
100024,1980-12-24 00:00:00,,3740.0,
100024,1985-05-13 00:00:00,,1400.0,
100024,1985-10-01 00:00:00,,1500.0,
100024,1986-04-17 00:00:00,,1400.0,
100024,1986-11-03 00:00:00,,1500.0,
100024,1987-04-03 00:00:00,,1400.0,
100024,1987-08-05 00:00:00,,1400.0,
100024,1987-09-08 00:00:00,,1500.0,
100024,1988-03-24 00:00:00,,1400.0,
100024,1989-05-11 00:00:00,,1500.0,
100024,1990-01-11 00:00:00,,1500.0,
100024,1990-05-10 00:00:00,,1500.0,
100024,1991-01-16 00:00:00,,1400.0,
100024,1992-01-23 00:00:00,,1500.0,
100024,2023-03-29 14:00:00,,,7.1
100025,1981-04-06 00:00:00,,9250.0,
100025,1981-04-06 01:00:00,,7150.0,
100025,1981-04-06 02:00:00,,4600.0,
100025,1981-04-06 03:00:00,,4600.0,
100025,1985-05-13 00:00:00,,3000.0,
100025,1985-10-01 00:00:00,,2800.0,
100025,1986-04-17 00:00:00,,5000.0,
100025,1986-04-17 01:00:00,,8100.0,
100025,1986-11-03 00:00:00,,9500.0,
100025,1987-04-03 00:00:00,,7700.0,
100025,1987-08-05 00:00:00,,2600.0,
100025,1987-09-08 00:00:00,,2700.0,
100025,1988-03-24 00:00:00,,9000.0,
100025,1989-05-11 00:00:00,,3100.0,
100025,1990-01-11 00:00:00,,3900.0,
100025,1990-05-10 00:00:00,,7100.0,
100025,1991-01-16 00:00:00,,3900.0,
100025,1992-01-23 00:00:00,,4100.0,
100025,2023-03-30 11:00:00,,,6.49
100500,1984-07-11 00:00:00,,8100.0,
100500,1984-08-08 00:00:00,,2000.0,
100501,1984-08-08 00:00:00,,2000.0,
100501,2021-11-09 00:00:00,,3150.3,6.38
100501,2022-11-15 10:00:00,,3250.25,6.39
100501,2023-11-14 14:00:00,,3200.3,6.38
100503,2011-11-23 00:00:00,,16100.0,
100503,2011-11-23 14:00:00,,,6.4
100503,2020-10-27 14:00:00,,7500.85,6.44
100503,2021-11-24 13:00:00,,7500.3,6.47
100503,2022-11-14 13:00:00,,7500.3,6.3
100503,2023-11-14 12:00:00,,7500.3,6.4
100504,2008-08-07 14:00:00,,,7.62
100505,2011-11-23 00:00:00,,2180.0,
100505,2011-11-23 16:00:00,,,7.03
100515,1988-04-14 00:00:00,,870.0,7.05
100515,1988-12-06 00:00:00,,,7.22
100515,1989-04-11 00:00:00,,880.0,7.37
100515,1989-06-27 00:00:00,,,7.23
100515,1989-09-19 00:00:00,,,7.8
100515,1989-12-05 00:00:00,,,7.15
100515,1990-03-29 00:00:00,,860.0,7.03
